Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 05/23  08:15:00,425014.020928512,385762.050928512,39251.97,640588.4691016174,0.0,0.0 
 05/23  08:30:00,425014.020928512,385762.050928512,39251.97,769529.8544766142,0.0,0.0 
 05/23  08:45:00,425014.020928512,385762.050928512,39251.97,863329.3851049014,0.0,0.0 
 05/23  09:00:00,425014.020928512,385762.050928512,39251.97,949494.0931961698,0.0,0.0 
 05/23  09:15:00,312468.0130924739,281779.4080924739,30688.605,199867.62607680093,0.0,0.0 
 05/23  09:30:00,312468.0130924739,281779.4080924739,30688.605,300297.8720394694,0.0,0.0 
 05/23  09:45:00,312468.0130924739,281779.4080924739,30688.605,375234.06746952646,0.0,0.0 
 05/23  10:00:00,312468.0130924739,281779.4080924739,30688.605,434750.7593583992,0.0,0.0 
 05/23  10:15:00,312468.0130924739,281779.4080924739,30688.605,477995.4032335837,0.0,0.0 
 05/23  10:30:00,312468.0130924739,281779.4080924739,30688.605,508573.9436466528,0.0,0.0 
 05/23  10:45:00,312468.0130924739,281779.4080924739,30688.605,524457.5629379043,0.0,0.0 
 05/23  11:00:00,312468.0130924739,281779.4080924739,30688.605,577922.4782662478,0.0,0.0 
 05/23  11:15:00,312468.0130924739,281779.4080924739,30688.605,636122.301710347,0.0,0.0 
 05/23  11:30:00,312468.0130924739,281779.4080924739,30688.605,700192.2475788323,0.0,0.0 
 05/23  11:45:00,312468.0130924739,281779.4080924739,30688.605,760753.8722270192,0.0,0.0 
 05/23  12:00:00,312468.0130924739,281779.4080924739,30688.605,824745.4652600043,0.0,0.0 
 05/23  12:15:00,312468.0130924739,281779.4080924739,30688.605,968964.1694256561,0.0,0.0 
 05/23  12:30:00,312468.0130924739,281779.4080924739,30688.605,1121316.0973079114,0.0,0.0 
 05/23  12:45:00,312468.0130924739,281779.4080924739,30688.605,1272020.0402142183,0.0,0.0 
 05/23  13:00:00,312468.0130924739,281779.4080924739,30688.605,1754334.2709898377,0.0,0.0 
 05/23  13:15:00,312468.0130924739,281779.4080924739,30688.605,1778193.325659684,0.0,0.0 
 05/23  13:30:00,312468.0130924739,281779.4080924739,30688.605,1799305.7365917569,0.0,0.0 
 05/23  13:45:00,312468.0130924739,281779.4080924739,30688.605,1816992.8030182496,0.0,0.0 
 05/23  14:00:00,312468.0130924739,281779.4080924739,30688.605,1831831.795882551,0.0,0.0 
 05/23  14:15:00,312468.0130924739,281779.4080924739,30688.605,1846579.9417627804,0.0,0.0 
 05/23  14:30:00,312468.0130924739,281779.4080924739,30688.605,1857923.580716711,0.0,0.0 
 05/23  14:45:00,312468.0130924739,281779.4080924739,30688.605,1861973.210665314,0.0,0.0 
 05/23  15:00:00,312468.0130924739,281779.4080924739,30688.605,1864951.7832947747,0.0,0.0 
 05/23  15:15:00,312468.0130924739,281779.4080924739,30688.605,1853637.9436419439,0.0,0.0 
 05/23  15:30:00,312468.0130924739,281779.4080924739,30688.605,1839753.42298041,0.0,0.0 
 05/23  15:45:00,312468.0130924739,281779.4080924739,30688.605,1822259.1856847956,0.0,0.0 
 05/23  16:00:00,312468.0130924739,281779.4080924739,30688.605,1801945.0876714555,0.0,0.0 
 05/23  16:15:00,364459.334510493,333770.729510493,30688.605,1811058.627787079,0.0,0.0 
 05/23  16:30:00,364459.334510493,333770.729510493,30688.605,1775966.278333804,0.0,0.0 
 05/23  16:45:00,364459.334510493,333770.729510493,30688.605,1737319.8942630795,0.0,0.0 
 05/23  17:00:00,364459.334510493,333770.729510493,30688.605,1691471.0769049046,0.0,0.0 
 05/23  17:15:00,418414.770928512,385762.050928512,32652.72,1688164.9182116539,0.0,0.0 
 05/23  17:30:00,418414.770928512,385762.050928512,32652.72,1641710.8995791549,0.0,0.0 
 05/23  17:45:00,418414.770928512,385762.050928512,32652.72,1600623.5462484253,0.0,0.0 
 05/23  18:00:00,432543.408398262,385762.050928512,46781.35746975001,1570911.8075290817,0.0,0.0 
 05/23  18:15:00,508684.49766945,437751.6525819809,70932.84508746905,1592447.0820058268,0.0,0.0 
 05/23  18:30:00,530703.661941714,437751.6525819809,92952.00935973306,1574932.6416293672,0.0,0.0 
 05/23  18:45:00,555678.095528615,437751.6525819809,117926.44294663407,1558953.5480154297,0.0,0.0 
 05/23  19:00:00,579216.1058919345,437751.6525819809,141464.45330995354,1542909.1572915419,0.0,0.0 
 05/23  19:15:00,652696.8197053191,489742.97399999995,162953.84570531918,1574843.4250994349,0.0,0.0 
 05/23  19:30:00,672810.7964022668,489742.97399999995,183067.82240226688,1563032.9919003505,0.0,0.0 
 05/23  19:45:00,698858.6873233252,489742.97399999995,209115.71332332528,1545287.6202660278,0.0,0.0 
 05/23  20:00:00,723272.821838568,489742.97399999995,233529.84783856805,1521503.944420732,0.0,0.0 
 05/23  20:15:00,751453.8183751202,489742.97399999995,261710.8443751202,1465851.855425962,0.0,0.0 
 05/23  20:30:00,770432.0785289003,489742.97399999995,280689.10452890038,1398123.1287152956,0.0,0.0 
 05/23  20:45:00,782880.3526014324,489742.97399999995,293137.37860143239,1332826.8106410839,0.0,0.0 
 05/23  21:00:00,829468.674,489742.97399999995,339725.7,477012.6926707701,0.0,0.0 
 05/23  21:15:00,696458.992581981,437751.6525819809,258707.34,110078.44202752497,0.0,0.0 
 05/23  21:30:00,696458.992581981,437751.6525819809,258707.34,0.0,0.0,0.0 
 05/23  21:45:00,696458.992581981,437751.6525819809,258707.34,0.0,0.0,0.0 
 05/23  22:00:00,696458.992581981,437751.6525819809,258707.34,0.0,0.0,0.0 
 05/23  22:15:00,395147.93951049298,333770.729510493,61377.21,0.0,0.0,0.0 
 05/23  22:30:00,395147.93951049298,333770.729510493,61377.21,0.0,0.0,0.0 
 05/23  22:45:00,395147.93951049298,333770.729510493,61377.21,0.0,0.0,0.0 
 05/23  23:00:00,395147.93951049298,333770.729510493,61377.21,0.0,0.0,0.0 
 05/23  23:15:00,281779.4080924739,281779.4080924739,0.0,0.0,0.0,0.0 
 05/23  23:30:00,281779.4080924739,281779.4080924739,0.0,44090.04048998178,0.0,0.0 
 05/23  23:45:00,281779.4080924739,281779.4080924739,0.0,21317.840162290835,0.0,0.0 
 05/23  24:00:00,281779.4080924739,281779.4080924739,0.0,0.0,0.0,0.0 
 05/24  00:15:00,281779.4080924739,281779.4080924739,0.0,54121.604677788586,0.0,0.0 
 05/24  00:30:00,281779.4080924739,281779.4080924739,0.0,34658.37763841589,0.0,0.0 
 05/24  00:45:00,281779.4080924739,281779.4080924739,0.0,23496.216154508696,0.0,0.0 
 05/24  01:00:00,281779.4080924739,281779.4080924739,0.0,12327.118392945313,0.0,0.0 
 05/24  01:15:00,281779.4080924739,281779.4080924739,0.0,0.0,0.0,0.0 
 05/24  01:30:00,281779.4080924739,281779.4080924739,0.0,0.0,0.0,0.0 
 05/24  01:45:00,281779.4080924739,281779.4080924739,0.0,0.0,0.0,0.0 
 05/24  02:00:00,281779.4080924739,281779.4080924739,0.0,0.0,0.0,0.0 
 05/24  02:15:00,281779.4080924739,281779.4080924739,0.0,0.0,0.0,0.0 
 05/24  02:30:00,281779.4080924739,281779.4080924739,0.0,0.0,0.0,0.0 
 05/24  02:45:00,281779.4080924739,281779.4080924739,0.0,0.0,0.0,0.0 
 05/24  03:00:00,281779.4080924739,281779.4080924739,0.0,0.0,0.0,0.0 
 05/24  03:15:00,281779.4080924739,281779.4080924739,0.0,0.0,0.0,0.0 
 05/24  03:30:00,281779.4080924739,281779.4080924739,0.0,0.0,0.0,0.0 
