Date/Time,Electricity:Facility [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 06/29  11:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,0.0,0.0 
 06/29  12:00:00,1333290.87955872,1197395.0195587199,135895.86,12249.5999675352,0.0,0.0 
 06/29  13:00:00,1333290.87955872,1197395.0195587199,135895.86,942444.2172910567,0.0,0.0 
 06/29  14:00:00,1333290.87955872,1197395.0195587199,135895.86,2955707.3696299365,0.0,0.0 
 06/29  15:00:00,1333290.87955872,1197395.0195587199,135895.86,4098048.030869065,0.0,0.0 
 06/29  16:00:00,1333290.87955872,1197395.0195587199,135895.86,4376056.67830346,0.0,0.0 
 06/29  17:00:00,1390330.508754312,1254434.648754312,135895.86,4323982.037687908,0.0,0.0 
 06/29  18:00:00,1456126.4179499043,1311474.2779499039,144652.13999999999,4204997.305914035,0.0,0.0 
 06/29  19:00:00,1519221.814404408,1368511.738404408,150710.07599999998,4061405.721928023,0.0,0.0 
 06/29  20:00:00,1576261.4436000004,1425551.3676,150710.07599999998,3078917.0899375129,0.0,0.0 
 06/29  21:00:00,1753862.6396937743,1425551.3676,328311.27209377448,1482941.98065128,0.0,0.0 
 06/29  22:00:00,2425798.50577476,1368511.738404408,1057286.7673703526,217271.3490932881,0.0,0.0 
 06/29  23:00:00,1526226.368754312,1254434.648754312,271791.72,38068.09646689307,0.0,0.0 
 06/29  24:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,0.0,0.0 
 06/30  01:00:00,1197395.0195587199,1197395.0195587199,0.0,44265.95767970934,0.0,0.0 
 06/30  02:00:00,1197395.0195587199,1197395.0195587199,0.0,216477.02779112193,0.0,0.0 
 06/30  03:00:00,1197395.0195587199,1197395.0195587199,0.0,93833.33082853798,0.0,0.0 
 06/30  04:00:00,1197395.0195587199,1197395.0195587199,0.0,24435.872597127105,0.0,0.0 
 06/30  05:00:00,1197395.0195587199,1197395.0195587199,0.0,415551.89666881706,0.0,0.0 
 06/30  06:00:00,1342047.15955872,1197395.0195587199,144652.13999999999,1523443.6914335518,0.0,0.0 
 06/30  07:00:00,1486416.097949904,1311474.2779499039,174941.81999999999,2621541.5756380187,0.0,0.0 
 06/30  08:00:00,1600493.1876,1425551.3676,174941.81999999999,2003971.0564232167,0.0,0.0 
 06/30  09:00:00,1486416.097949904,1311474.2779499039,174941.81999999999,4951972.567660075,0.0,0.0 
 06/30  10:00:00,1333290.87955872,1197395.0195587199,135895.86,5667453.179113944,0.0,0.0 
